Seal owner,Terminus post quem,Identifier,Feature,Number
"Adimari, Alemanno",1411,Adimarius2,aedicule,1
"Adimari, Alemanno",1411,Adimarius2,stone course,1
"Adimari, Alemanno",1411,Adimarius2,plinth,2
"Adimari, Alemanno",1411,Adimarius2,pinnacle,4
"Adimari, Alemanno",1411,Adimarius2,corbel,1
"Adimari, Alemanno",1411,Adimarius2,finial,3
"Adimari, Alemanno",1411,Adimarius2,gable,6
"Adimari, Alemanno",1411,Adimarius2,pinnacle,4
"Adimari, Alemanno",1411,Adimarius2,tracery panel,13
"Adimari, Alemanno",1411,Adimarius2,niche,3
"Adimari, Alemanno",1411,Adimarius2,cross-hatched background,1
"Adimari, Alemanno",1411,Adimarius2,canopy,3
"Adimari, Alemanno",1411,Adimarius3,stone course,1
"Adimari, Alemanno",1411,Adimarius3,bench,1
"Adimari, Alemanno",1411,Adimarius3,canopy,1
"Adimari, Alemanno",1411,Adimarius3,tracery panel,32
"Adimari, Alemanno",1411,Adimarius3,gable,20
"Adimari, Alemanno",1411,Adimarius3,diapered background,1
"Adimari, Alemanno",1411,Adimarius3,flying buttress,2
"Adimari, Alemanno",1411,Adimarius3,corbel,1
"Adimari, Alemanno",1411,Adimarius3,cross,2
"Adimari, Alemanno",1411,Adimarius3,aedicule,1
"Aigrefeuille, Faydit",1383,AigrefeuilleF1,stone course,1
"Aigrefeuille, Faydit",1383,AigrefeuilleF1,tracery panel,12
"Aigrefeuille, Faydit",1383,AigrefeuilleF1,gable,9
"Aigrefeuille, Faydit",1383,AigrefeuilleF1,pinnacle,2
"Aigrefeuille, Faydit",1383,AigrefeuilleF1,niche,4
"Aigrefeuille, Faydit",1383,AigrefeuilleF1,aedicule,1
"Aigrefeuille, Faydit",1383,AigrefeuilleF1,buttress,6
"Albergati, Nicola",1426,Albergati1,finial,1
"Albergati, Nicola",1426,Albergati1,aedicule,1
"Albergati, Nicola",1426,Albergati1,niche,1
"Albergati, Nicola",1426,Albergati1,diapered background,1
"Albergati, Nicola",1426,Albergati1,buttress,4
"Albergati, Nicola",1426,Albergati1,flanking column,2
"Albret, Louis d'",1461,AlbretL1,aedicule,1
"Albret, Louis d'",1461,AlbretL1,stone course,1
"Albret, Louis d'",1461,AlbretL1,niche,5
"Albret, Louis d'",1461,AlbretL1,gable,6
"Albret, Louis d'",1461,AlbretL1,flanking column,8
"Albret, Louis d'",1461,AlbretL1,tracery panel,5
"Amboise, Georges d'",1498,Amboise1,background of fleur-de-lis,1
"Amboise, Georges d'",1498,Amboise1,canopy,1
"Amboise, Georges d'",1498,Amboise1,gable,3
"Amboise, Georges d'",1498,Amboise1,finial,3
"Amboise, Georges d'",1498,Amboise1,buttress,4
"Amboise, Georges d'",1498,Amboise1,rib-vaulting,3
"Aragona, Giovanni d'",1477,AragonJ1,throne,1
"Aragona, Giovanni d'",1477,AragonJ1,festoon,1
