Name,Dates,Subjects
"Adimari, Alemanno",1362-1422,St Eusebius
"Adimari, Alemanno",1362-1422,angel
"Adimari, Alemanno",1362-1422,angel
"Adimari, Alemanno",1362-1422,Virgin
"Adimari, Alemanno",1362-1422,Christ
"Aigrefeuille, Faydit",d.1391,St Martin
"Aigrefeuille, Faydit",d.1391,angel
"Aigrefeuille, Faydit",d.1391,angel
"Aigrefeuille, Faydit",d.1391,Virgin
"Aigrefeuille, Faydit",d.1391,Christ Child
"Albergati, Nicola",1375-1443,Crucifix
"Albergati, Nicola",1375-1443,Passion symbols
"Albret, Louis d'",1422-1465,Virgin
"Albret, Louis d'",1422-1465,Christ Child
"Albret, Louis d'",1422-1465,St John the Baptist
"Albret, Louis d'",1422-1465,unidentified saint
"Albret, Louis d'",1422-1465,unidentified saint
"Albret, Louis d'",1422-1465,unidentified saint
"Albret, Louis d'",1422-1465,angel
"Albret, Louis d'",1422-1465,angel
"Amboise, Georges d'",1460-1510,Virgin
"Amboise, Georges d'",1460-1510,Christ
"Amboise, Georges d'",1460-1510,St John the Baptist
"Aragona, Giovanni d'",1456-1485,Virgin
"Aragona, Giovanni d'",1456-1485,St Sebastian
"Aragona, Giovanni d'",1456-1485,unidentified saint
"Aragona, Giovanni d'",1456-1485,Christ Child
"Barbo, Marco",1420-1491,Archangel Gabriel
"Barbo, Marco",1420-1491,Virgin
"Barbo, Marco",1420-1491,St Mark
"Barbo, Marco",1420-1491,St Cosmas
"Barbo, Marco",1420-1491,St Damian
"Barbo, Marco",1420-1491,Virgin
"Barbo, Marco",1420-1491,Christ Child
"Barbo, Marco",1420-1491,St Peter
"Barbo, Marco",1420-1491,St Mark
"Barbo, Marco",1420-1491,St Hermagoras
"Barbo, Marco",1420-1491,St Fortunatus
"Barbo, Marco",1420-1491,winged lion
"Bar, Louis",c.1370/1375-1430,St Agatha
"Bar, Louis",c.1370/1375-1430,St Mammes
"Bar, Louis",c.1370/1375-1430,lion
"Bar, Louis",c.1370/1375-1430,St Christopher
"Bar, Louis",c.1370/1375-1430,Christ Child
"Bar, Louis",c.1370/1375-1430,torturer
"Bar, Louis",c.1370/1375-1430,torturer
"Bar, Louis",c.1370/1375-1430,Virgin
"Bar, Louis",c.1370/1375-1430,Christ Child
"Bar, Louis",c.1370/1375-1430,unidentified saint
"Bar, Louis",c.1370/1375-1430,unidentified saint
"Bar, Louis",c.1370/1375-1430,St Mammes
"Bar, Louis",c.1370/1375-1430,St Christopher
"Bar, Louis",c.1370/1375-1430,Christ Child
"Bar, Louis",c.1370/1375-1430,angel
"Bar, Louis",c.1370/1375-1430,angel
Bessarion,1403-1472,Virgin
Bessarion,1403-1472,Christ Child
Bessarion,1403-1472,angel
Bessarion,1403-1472,St John the Baptist
"Blau, Pierre",d.1409,St Michael
"Blau, Pierre",d.1409,dragon
"Blau, Pierre",d.1409,Christ Crucified
